"Method","True_Group","True_tau","Mean_Est","Var_Est","Bias"
"Flexible","Group A (τ=2)",2,1.9989,0.001605,-0.0011
"Flexible","Group B (τ=4)",4,3.9987,0.003202,-0.0013
"L0 (L=0.5)","Group A (τ=2)",2,1.9987,0.001391,-0.0013
"L0 (L=0.5)","Group B (τ=4)",4,3.9998,0.002323,-2e-04
"L0 (L=2)","Group A (τ=2)",2,1.9986,0.001388,-0.0014
"L0 (L=2)","Group B (τ=4)",4,3.9996,0.002318,-4e-04
"L0 (L=10)","Group A (τ=2)",2,2.2456,0.060408,0.2456
"L0 (L=10)","Group B (τ=4)",4,3.3708,0.345355,-0.6292
"L0 (L=50)","Group A (τ=2)",2,2.5989,0.001115,0.5989
"L0 (L=50)","Group B (τ=4)",4,2.5989,0.001115,-1.4011
"Pooled","Group A (τ=2)",2,2.5989,0.001115,0.5989
"Pooled","Group B (τ=4)",4,2.5989,0.001115,-1.4011
